1,"Tradera"
2,"Ebay"
3,"Facebook"
4,"Johannes Thyr"
5,"Marcus Lepola"
6,"Blocket"
7,"Etsy"
8,"Wetterlings fabriksbutik"
9,"Kalthoff Axes"
10,"Murberget"
11,"Townsends"
12,"Täljfest 2019"
13,"Lien Smie"
14,"E-post"
15,"Instagram"
16,"Auctionet"
17,"Magnus Sundelin"
