50,47,,2018-9-1 00:00:00,-1550.00 kr,-237.00 kr,-1787.00 kr,,2,"Inköp"
51,38,1,2018-9-27 00:00:00,1000.00 kr,95.00 kr,1095.00 kr,,14,"Försäljning"
52,48,3,2018-10-11 00:00:00,-1999.00 kr,-100.00 kr,-2099.00 kr,,9,"Inköp"
53,49,,2018-10-17 00:00:00,-1231.00 kr,-75.00 kr,-1306.00 kr,,1,"Inköp"
54,50,,2018-10-17 00:00:00,-355.00 kr,-39.00 kr,-394.00 kr,,1,"Inköp"
55,51,,2018-10-22 00:00:00,-580.00 kr,-40.00 kr,-620.00 kr,,1,"Inköp"
56,52,,2018-11-7 00:00:00,-800.00 kr,-108.00 kr,-908.00 kr,,1,"Inköp"
57,53,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
58,54,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
59,55,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
60,56,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
61,57,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
62,58,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
63,59,,2018-11-8 00:00:00,-292.86 kr,-17.86 kr,-310.71 kr,,1,"Inköp"
64,60,,2018-11-11 00:00:00,-341.00 kr,-59.00 kr,-400.00 kr,,1,"Inköp"
65,61,,2018-11-12 00:00:00,-520.00 kr,-75.00 kr,-595.00 kr,,1,"Inköp"
66,62,,2018-11-21 00:00:00,-4278.12 kr,0.00 kr,-4278.12 kr,,3,"Inköp"
67,63,,2018-11-24 00:00:00,-610.00 kr,-59.00 kr,-669.00 kr,,1,"Inköp"
68,64,,2018-12-13 00:00:00,-540.00 kr,-69.00 kr,-609.00 kr,,1,"Inköp"
69,65,,2018-12-15 00:00:00,-1738.72 kr,-253.76 kr,-1992.48 kr,,7,"Inköp"
70,66,,2019-1-22 00:00:00,-1190.00 kr,-67.00 kr,-1257.00 kr,,1,"Inköp"
71,67,,2019-2-3 00:00:00,-180.94 kr,-222.20 kr,-403.14 kr,,11,"Inköp"
72,68,,2019-2-11 00:00:00,-365.00 kr,-59.00 kr,-424.00 kr,,1,"Inköp"
73,69,,2019-2-27 00:00:00,-300.00 kr,-67.00 kr,-367.00 kr,,1,"Inköp"
74,70,,2019-3-17 00:00:00,-417.00 kr,-75.00 kr,-492.00 kr,,1,"Inköp"
75,71,,2019-3-20 00:00:00,-743.00 kr,-67.00 kr,-810.00 kr,,1,"Inköp"
76,72,,2019-4-9 00:00:00,-1530.00 kr,-75.00 kr,-1605.00 kr,,1,"Inköp"
77,73,,2019-4-24 00:00:00,-1460.00 kr,-67.00 kr,-1527.00 kr,,1,"Inköp"
78,74,,2019-4-25 00:00:00,-2997.59 kr,-900.02 kr,-3897.61 kr,,14,"Inköp"
79,75,,2019-4-27 00:00:00,-500.00 kr,0.00 kr,-500.00 kr,,10,"Inköp"
80,76,,2019-5-2 00:00:00,-625.00 kr,-120.00 kr,-745.00 kr,,1,"Inköp"
81,78,,2019-5-2 00:00:00,-500.00 kr,-75.00 kr,-575.00 kr,,1,"Inköp"
82,79,,2019-5-2 00:00:00,-415.00 kr,-67.00 kr,-482.00 kr,,1,"Inköp"
